date,equity
2025-10-17,102245.93990449153
2025-10-20,103156.89913911934
2025-10-21,103581.04227888903
2025-10-22,102811.83695684516
2025-10-23,103938.33493470644
2025-10-24,105027.17244275517
2025-10-27,105666.08569354741
2025-10-28,105399.12084815069
2025-10-29,104787.13300780981
2025-10-30,103211.661347121
2025-10-31,104950.11115223973
2025-11-03,105099.2888180621
2025-11-04,102524.08072564105
2025-11-05,102394.37232988198
2025-11-06,100775.44748552376
2025-11-07,100872.7766159835
2025-11-10,101677.00103082877
2025-11-11,101635.83932795588
2025-11-12,100657.66479685958
2025-11-13,98977.32452005679
2025-11-14,98828.21059817803
2025-11-17,97413.50823165732
2025-11-18,96693.0534430467
2025-11-19,97014.98961472654
2025-11-20,95953.16237209275
2025-11-21,95501.29187477294
2025-11-24,96360.30200212778
2025-11-25,96672.11678225081
2025-11-26,96452.6545983626
2025-11-28,96642.37664547117
2025-12-01,96300.99164082076
2025-12-02,96984.96976618988
2025-12-03,97315.8873544099
2025-12-04,96515.88039457874
2025-12-05,96469.4619199438
2025-12-08,96104.78875926527
2025-12-09,96071.71163810187
2025-12-10,96495.30174818795
2025-12-11,96192.92463635404
2025-12-12,95643.62040293353
2025-12-15,95175.24453771935
2025-12-16,95834.10789533795
2025-12-17,95148.47141714973
2025-12-18,95684.44016931375
2025-12-19,96365.6630362797
2025-12-22,96869.6269772781
2025-12-23,96456.5583351518
2025-12-24,96542.50913494638
2025-12-26,96625.27741904302
2025-12-29,96223.59550675898
2025-12-30,96117.1315777493
2025-12-31,95620.85405183141
2026-01-02,94744.9139589527
2026-01-05,95671.0212879629
2026-01-06,96669.08164629676
2026-01-07,96831.61530885044
2026-01-08,96033.3112015604
2026-01-09,95992.89454040797
2026-01-12,96091.2966637947
2026-01-13,94853.93691978633
2026-01-14,93223.73479159045
2026-01-15,93280.28484390282
2026-01-16,93209.46950470432
2026-01-20,91720.33681920316
2026-01-21,91848.22574163522
2026-01-22,92081.0569476991
2026-01-23,92286.98797936017
2026-01-26,93012.11074059454
2026-01-27,92322.54588536074
2026-01-28,91559.50313042254
2026-01-29,90623.90882416567
2026-01-30,89717.11801979897
2026-02-02,89997.14773413821
2026-02-03,88215.21930514433
2026-02-04,88531.58020103766
2026-02-05,86922.1900751374
2026-02-06,87388.78816776305
2026-02-09,87028.50655352889
2026-02-10,87054.07600795047
2026-02-11,85269.41805015341
2026-02-12,84608.77354828693
2026-02-13,84815.04309177402
2026-02-17,84545.96280931935
2026-02-18,84765.64775224085
2026-02-19,84161.62135341612
2026-02-20,83202.36581920477
2026-02-23,81595.1576916725
2026-02-24,82335.95385999457
2026-02-25,83398.21554873436
2026-02-26,85175.01491877307
2026-02-27,83535.33023097557
2026-03-02,83470.9663250926
2026-03-03,84710.61295932966
2026-03-04,84808.43796999456
2026-03-05,86140.276650743
2026-03-06,86546.69179980364
2026-03-09,86151.87957427972
2026-03-10,84927.61188115127
2026-03-11,84417.7761665947
2026-03-12,83566.45302672562
2026-03-13,83383.24389065919
2026-03-16,83928.52669140846
2026-03-17,84204.41330624706
2026-03-18,83787.58639695757
2026-03-19,83850.90167385261
2026-03-20,83328.58282813788
2026-03-23,83733.38316886105
2026-03-24,81476.60950047818
2026-03-25,81381.66087602588
2026-03-26,81501.12663078465
2026-03-27,79931.41844439085
2026-03-30,80567.81706100071
2026-03-31,81243.79070762327
2026-04-01,81097.37910542544
2026-04-02,81224.73505485026
2026-04-06,81142.08599344181
2026-04-07,80720.84119638073
2026-04-08,79809.20355825895
2026-04-09,77969.3486247787
2026-04-10,77647.41526860806
2026-04-13,78077.63129812338
2026-04-14,78144.02766749081
2026-04-15,78992.03193519489
2026-04-16,79201.51742454557
2026-04-17,79504.99680157169
2026-04-20,79820.96857680102
2026-04-21,79772.6314370966
2026-04-22,80358.95243007885
2026-04-23,79216.92284148859
2026-04-24,79597.4296460741
2026-04-27,79462.02818243415
2026-04-28,79290.4760354675
2026-04-29,79314.27729111537
2026-04-30,78816.79475115782
2026-05-01,79722.58452530083
2026-05-04,80180.56299376836
2026-05-05,80680.74675167384
2026-05-06,81071.84477436509
2026-05-07,81711.74231797038
2026-05-08,80261.81438859666
2026-05-11,79567.56201949893
2026-05-12,79151.70330914992
2026-05-13,78934.11804441556
2026-05-14,79111.1928067366
2026-05-15,79357.84402091234
2026-05-18,79497.27337605348
2026-05-19,78890.43185510639
2026-05-20,79485.41059482668
2026-05-21,78827.9968115671
2026-05-22,79173.54228025448
2026-05-26,79419.55768419261
2026-05-27,79560.67271174831
2026-05-28,80765.10361015903
2026-05-29,83005.22442966318
2026-06-01,85028.30145808784
2026-06-02,84030.02551345334
2026-06-03,82172.82024147014
2026-06-04,82441.0001938286
2026-06-05,80555.91934468965
2026-06-08,80278.77065976057
2026-06-09,78996.62736935439
2026-06-10,77877.61213395017
2026-06-11,77908.6243624399
2026-06-12,77815.00686985886
2026-06-15,79036.62845900081
2026-06-16,78799.31205788782
2026-06-17,77875.07491008448
2026-06-18,78001.57459013647
2026-06-22,76928.79712869265
2026-06-23,76909.7673410827
2026-06-24,77240.3923622239
2026-06-25,76282.00008426131
2026-06-26,77834.50349712846
2026-06-29,78253.03974911953
2026-06-30,78193.42797241802
2026-07-01,78930.64478891493
2026-07-02,78887.11875976689
2026-07-06,79093.91034362369
2026-07-07,79340.96053024262
2026-07-08,78673.74808124836
2026-07-09,79525.26059183714
2026-07-10,78831.48536533804
2026-07-13,79317.17477882162
2026-07-14,78876.637731583
2026-07-15,79124.36724750868
2026-07-16,78510.47884907736
2026-07-17,78260.32563316223
2026-07-20,78335.66885924584
2026-07-21,77851.57024214367
2026-07-22,76382.67127799906
2026-07-23,74707.12290722855
2026-07-24,75244.2066988615
2026-07-27,76040.5042334768
2026-07-28,76636.2542161951
2026-07-29,77490.58748986507
2026-07-30,77291.85711753869
2026-07-31,77746.00143628207
2026-08-03,79046.37583982656
2026-08-04,80744.25311461413
2026-08-05,81195.50866203001
2026-08-06,80512.16906458621
2026-08-07,84522.62578473787
2026-08-10,85715.32872106503
2026-08-11,85582.40546648584
2026-08-12,84741.46133484192
2026-08-13,87948.3896896416
2026-08-14,86123.94236299694
2026-08-17,84510.78499175393
2026-08-18,85067.67488520697
2026-08-19,86550.7011825071
2026-08-20,85741.45516729765
2026-08-21,86578.4559375741
2026-08-24,86530.98363271735
